Ьрђх№шры;;;;Ъ№рђъшщ ђхъёђ ьрђх№шрыр;;;;;Ч-ф;Шьџ 1
бъыф;ТФт;Ю;ФюъѓьЬђ№;;Яюч.;Ф/я№ютюфъш;Ъюы-тю т ХШ ттюфр;ХШТ;;
;;;;;;;;;;
3697643/;;;;MPL CLIP, яюфњхь 0 ьь, ё/т  173L8100;;;;;1100;жхэђ№.ёъырф-дшх№р
1100;643;;4900783791;;51;14.05.2018;-500;ив;;
1100;643;;4900782179;;49;11.05.2018;-500;ив;;
1100;643;;4900782780;;154;11.05.2018;-5000;ив;;
1100;643;;4900781253;;25;10.05.2018;-500;ив;;
1100;643;;4900781301;;30;10.05.2018;-500;ив;;
1100;643;;4900781796;;31;10.05.2018;-500;ив;;
1100;643;;4900781654;;68;10.05.2018;-500;ив;;
1100;643;;4900781522;;64;10.05.2018;-500;ив;;
1100;643;;4900780609;;38;08.05.2018;-500;ив;;
1100;101;;5000041579;;91;07.05.2018;18 000;ив;;
1100;643;;4900779579;;47;07.05.2018;-500;ив;;
1100;643;;4900779795;;60;07.05.2018;-500;ив;;
1100;643;;4900780131;;104;07.05.2018;-500;ив;;
1100;643;;4900780162;;41;07.05.2018;-500;ив;;
1100;643;;4900780183;;29;07.05.2018;-1000;ив;;
1100;643;;4900780270;;72;07.05.2018;-500;ив;;
1100;643;;4900779092;;53;04.05.2018;-500;ив;;
1100;643;;4900779129;;41;04.05.2018;-2000;ив;;
1100;643;;4900779327;;345;04.05.2018;-5500;ив;;
1100;643;;4900779406;;93;04.05.2018;-1000;ив;;
1100;643;;4900779411;;74;04.05.2018;-1500;ив;;
1100;101;;5000041503;;87;03.05.2018;49 000;ив;;
1100;101;;5000041540;;163;03.05.2018;19 000;ив;;
1100;643;;4900777521;;56;28.04.2018;-500;ив;;
1100;643;;4900777426;;112;28.04.2018;-1000;ив;;
1100;643;;4900777307;;28;28.04.2018;-1500;ив;;
1100;643;;4900776206;;52;27.04.2018;-500;ив;;
1100;643;;4900776873;;200;27.04.2018;-4500;ив;;
1100;643;;4900776173;;164;27.04.2018;-2000;ив;;
1100;643;;4900775833;;108;26.04.2018;-500;ив;;
1100;643;;4900775785;;119;26.04.2018;-2000;ив;;
1100;643;;4900775537;;152;26.04.2018;-1500;ив;;
1100;643;;4900775193;;96;26.04.2018;-500;ив;;
1100;643;;4900775947;;74;26.04.2018;-500;ив;;
1100;643;;4900775725;;71;26.04.2018;-500;ив;;
1100;643;;4900775725;;70;26.04.2018;-500;ив;;
1100;643;;4900774456;;148;25.04.2018;-3500;ив;;
1100;643;;4900774712;;55;25.04.2018;-500;ив;;
1100;643;;4900774818;;66;25.04.2018;-500;ив;;
1100;643;;4900774837;;210;25.04.2018;-4500;ив;;
1100;643;;4900774132;;157;24.04.2018;-2500;ив;;
1100;643;;4900774035;;93;24.04.2018;-2000;ив;;
1100;643;;4900773860;;70;24.04.2018;-500;ив;;
1100;643;;4900773824;;60;24.04.2018;-1000;ив;;
1100;643;;4900773900;;72;24.04.2018;-500;ив;;
