Ьрђх№шры;;;;Ъ№рђъшщ ђхъёђ ьрђх№шрыр;;;;;Ч-ф;Шьџ 1
бъыф;ТФт;Ю;ФюъѓьЬђ№;;Яюч.;Ф/я№ютюфъш;Ъюы-тю т ХШ ттюфр;ХШТ;;
;;;;;;;;;;
1334692/;;;;TD схч BM, їрёђ.тћфт, 30 ъу, 300 ь(бЭпв);;;;;1100;жхэђ№.ёъырф-дшх№р
1100;643;;4900239638;;95;01.12.2014;-20;ив;;
1100;643;;4900239627;;113;01.12.2014;-10;ив;;
1100;643;;4900238152;;195;27.11.2014;-10;ив;;
1100;643;;4900237452;;169;26.11.2014;-10;ив;;
1100;643;;4900236798;;50;25.11.2014;-10;ив;;
1100;643;;4900236247;;246;24.11.2014;-20;ив;;
1100;643;;4900236244;;78;24.11.2014;-10;ив;;
1100;643;;4900235697;;161;21.11.2014;-10;ив;;
1100;643;;4900235697;;160;21.11.2014;-10;ив;;
1100;643;;4900234215;;77;19.11.2014;-20;ив;;
1100;643;;4900233122;;85;18.11.2014;-10;ив;;
1100;643;;4900232128;;186;14.11.2014;-30;ив;;
1100;643;;4900230912;;191;12.11.2014;-40;ив;;
1100;643;;4900230069;;62;11.11.2014;-10;ив;;
1100;643;;4900229607;;200;10.11.2014;-10;ив;;
1100;643;;4900228949;;148;07.11.2014;-40;ив;;
1100;643;;4900227610;;79;05.11.2014;-10;ив;;
1100;643;;4900226672;;93;31.10.2014;-50;ив;;
1100;643;;4900226130;;92;30.10.2014;-20;ив;;
1100;643;;4900223650;;120;24.10.2014;-40;ив;;
1100;643;;4900222558;;145;22.10.2014;-10;ив;;
1100;643;;4900221857;;119;21.10.2014;-10;ив;;
1100;643;;4900221377;;89;20.10.2014;-10;ив;;
1100;643;;4900220891;;136;17.10.2014;-10;ив;;
1100;643;;4900219081;;32;14.10.2014;-20;ив;;
1100;643;;4900215554;;121;03.10.2014;-40;ив;;
1100;643;;4900212641;;32;26.09.2014;-10;ив;;
1100;643;;4900212042;;267;25.09.2014;-10;ив;;
1100;643;;4900211101;;92;23.09.2014;-30;ив;;
1100;643;;4900210584;;103;23.09.2014;-20;ив;;
1100;643;;4900209777;;126;19.09.2014;-10;ив;;
1100;643;;4900209223;;67;18.09.2014;-10;ив;;
1100;643;;4900207169;;92;12.09.2014;-10;ив;;
1100;643;;4900205686;;66;10.09.2014;-10;ив;;
1100;643;;4900205652;;28;10.09.2014;-10;ив;;
1100;643;;4900205258;;95;09.09.2014;-10;ив;;
1100;643;;4900204200;;123;05.09.2014;-50;ив;;
1100;643;;4900203623;;39;04.09.2014;-10;ив;;
1100;643;;4900202388;;50;02.09.2014;-10;ив;;
1100;643;;4900201350;;133;29.08.2014;-10;ив;;
1100;643;;4900201350;;132;29.08.2014;-20;ив;;
1100;643;;4900200775;;90;28.08.2014;-10;ив;;
1100;643;;4900200765;;47;28.08.2014;-10;ив;;
1100;643;;4900199403;;66;25.08.2014;-10;ив;;
1100;643;;4900198807;;98;22.08.2014;-30;ив;;
1100;643;;4900197139;;99;19.08.2014;-20;ив;;
1100;643;;4900197139;;98;19.08.2014;-10;ив;;
1100;643;;4900194263;;73;12.08.2014;-10;ив;;
1100;643;;4900192664;;60;07.08.2014;-10;ив;;
1100;643;;4900192654;;106;07.08.2014;-10;ив;;
1100;643;;4900191195;;76;05.08.2014;-20;ив;;
1100;643;;4900191202;;88;05.08.2014;-10;ив;;
1100;643;;4900188578;;133;29.07.2014;-20;ив;;
1100;643;;4900187791;;135;25.07.2014;-10;ив;;
1100;643;;4900185506;;238;21.07.2014;-20;ив;;
1100;643;;4900182407;;101;11.07.2014;-40;ив;;
1100;643;;4900181570;;76;10.07.2014;-10;ив;;
1100;643;;4900180542;;88;08.07.2014;-10;ив;;
1100;643;;4900179698;;53;04.07.2014;-10;ив;;
1100;643;;4900178297;;79;01.07.2014;-10;ив;;
1100;643;;4900177761;;93;30.06.2014;-10;ив;;
1100;643;;4900177295;;95;27.06.2014;-10;ив;;
1100;643;;4900176667;;95;26.06.2014;-10;ив;;
1100;643;;4900175062;;26;23.06.2014;-30;ив;;
1100;643;;4900172541;;96;16.06.2014;-10;ив;;
1100;643;;4900171840;;37;11.06.2014;-10;ив;;
1100;643;;4900170815;;61;09.06.2014;-10;ив;;
1100;643;;4900170072;;149;06.06.2014;-40;ив;;
1100;643;;4900169486;;86;05.06.2014;-10;ив;;
1100;643;;4900167733;;114;30.05.2014;-10;ив;;
1100;643;;4900165786;;124;27.05.2014;-10;ив;;
